Entity,Count,Avg Sentiment
home,20,0.5050000015646219
chan,1,0.699999988079071
oonah,12,0.6999999911834797
team,72,0.7236111055438718
rooms,111,0.3342342290121156
faces,5,0.3599999979138374
work trip,1,0.8999999761581421
mustaffa,1,0.8999999761581421
hotel workers,1,0.800000011920929
worries,3,0.7333333293596903
airport pickup,1,0.699999988079071
lifetime,1,-0.800000011920929
kettle,3,-0.23333332935969034
room service guy,1,-0.800000011920929
room service,17,0.1588235230130308
job,9,0.633333318763309
waste,1,-0.699999988079071
money,8,0.10000000149011612
office,4,0.6249999925494194
spread,6,0.566666675110658
room sizes,1,0.5
reviews,7,0.3714285748345511
adapter,1,0.0
pros,4,0.14999999478459358
air conditioning,4,-0.40000000409781933
lots,16,0.5437500062398612
eateries,15,0.3266666705409686
transport,5,0.27999999523162844
supermarket,10,0.22000000327825547
cleaning smell,1,-0.699999988079071
smell,4,-0.3999999910593033
hotels,12,0.2166666742414236
couple,7,0.09999999829701015
outlets,1,-0.10000000149011612
pillow,3,0.13333333283662796
half,3,-0.06666667262713115
chinatown,12,0.43333333792785805
smoke smell,1,-0.6000000238418579
lift button,1,-0.10000000149011612
worst,2,-0.5
all,23,0.5521739157645599
cons,2,-0.30000001192092896
desk,31,0.35806451978222015
investigation,1,0.0
lifts,1,0.0
bits,1,-0.20000000298023224
use,5,0.2800000041723251
tape,1,0.0
vehicle number,1,0.4000000059604645
requests,37,0.5135135165340191
plugs,2,-0.14999999105930328
furniture,8,-0.23750000167638063
usb,1,-0.699999988079071
air con,2,-0.3499999940395355
drains,2,-0.44999999552965164
pool,39,0.5871794816011038
explanation,3,-0.40000000844399136
expectations,7,0.5
peoples,1,0.20000000298023224
customer service,31,0.6806451562912234
soulless,1,0.20000000298023224
business trip,5,-0.019999997317790986
welcome,8,0.5874999947845936
everthing,1,0.699999988079071
darryl,1,0.5
meeting facilities,1,0.5
contact,6,0.5333333437641462
bag storage,1,-0.10000000149011612
issues,17,0.2705882349435021
confusion,1,-0.20000000298023224
nice,2,0.2499999925494194
return,3,0.36666666467984516
guests,27,0.25555555715605066
facelift,2,0.10000000521540642
flight,13,0.23076923191547394
pool area,6,0.7166666612029076
drilling,1,-0.10000000149011612
idea,2,0.10000000521540642
building sites,1,-0.10000000149011612
fault,1,0.0
speakers,1,0.0
building noise,1,0.10000000149011612
europe,1,0.20000000298023224
hand,4,0.3000000026077032
go,1,0.0
solution,4,0.375
earplugs,1,0.0
airpods,1,0.10000000149011612
space,6,0.5166666656732559
bathrooms,6,0.36666666467984516
beds,5,0.34000000208616254
centre,4,0.525000000372529
tourist attractions,1,0.6000000238418579
lines,1,0.699999988079071
stations,4,0.4750000089406967
markets,2,0.25
side,7,-0.057142850543771474
amenities,22,0.6136363636363636
mrt,15,0.5333333397905032
7-elevens,1,0.0
walk,10,0.2600000038743019
mall,22,0.2818181866949255
star standard hotel,1,0.0
star maximum,1,0.0
bath,4,0.07499999739229679
premier room,1,0.30000001192092896
deluxe,1,0.4000000059604645
hallway,2,-0.20000000298023224
question,2,0.30000000074505806
leslie,2,0.800000011920929
suite,5,0.4800000056624413
bathroom,17,0.22352941202766755
hall,1,-0.10000000149011612
marks,2,-0.30000001192092896
splatters,1,-0.4000000059604645
photo,5,-0.11999999284744263
dirt,2,-0.3499999940395355
carpets,1,-0.800000011920929
perimeter,1,-0.699999988079071
dust,5,-0.20000000596046447
wallpaper,1,-0.6000000238418579
everywhere,6,0.38333333532015484
rajeev,3,0.8333333333333334
banquet,7,0.6000000004257474
matters,5,0.3600000023841858
food,110,0.5790909061377699
lunch banquet,1,0.800000011920929
company,4,0.375
balloon sword,1,0.10000000149011612
offer,1,0.4000000059604645
elements restaurant,1,0.30000001192092896
son,11,0.2818181853402745
colleague,2,0.44999999552965164
service staff,4,0.42500000074505806
entrance,4,0.3750000074505806
transportation,1,0.6000000238418579
tanjong pagar,16,0.4999999990686774
maxwell,4,0.5000000149011612
opportunity,4,0.3750000037252903
necessities,1,0.0
score,1,0.0
